"Opérations de long terme"
"En millions de dirhams
"
"Date d'opération";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
24/08/2021;26/08/2021;30/09/2021;"Prêt garanti";"3 000,00";"3 000,00";"1,50 %"
24/08/2021;26/08/2021;30/09/2021;"Swap de change";"1 000,00";"1 000,00";"0,00 %"
23/08/2021;26/08/2021;25/08/2022;"Prêt garanti";"1 350,00";"1 350,00";"1,50 %"
27/07/2021;29/07/2021;26/08/2021;"Prêt garanti";"1 540,00";"1 540,00";"1,50 %"
27/07/2021;29/07/2021;26/08/2021;"Pension livrée";"15 760,00";"15 760,00";"1,50 %"
20/07/2021;26/07/2021;28/07/2022;"Prêt garanti";64,00;64,00;"1,25 %"
19/07/2021;26/07/2021;28/07/2022;"Prêt garanti";"1 960,00";"1 960,00";"1,50 %"
19/07/2021;25/11/2021;28/07/2022;"Prêt garanti – Remboursement anticipé";80,00;80,00;"1,50 %"
22/06/2021;24/06/2021;29/07/2021;"Prêt garanti";"1 000,00";644,00;"1,50 %"
22/06/2021;24/06/2021;30/09/2021;"Prêt garanti";"10 080,00";"5 924,00";"1,50 %"
22/06/2021;24/06/2021;30/09/2021;"Pension livrée";"23 950,00";"14 076,00";"1,50 %"
22/06/2021;24/06/2021;29/07/2021;"Pension livrée";"14 520,00";"9 356,00";"1,50 %"
21/06/2021;24/06/2021;23/06/2022;"Prêt garanti";80,00;80,00;"1,50 %"
24/05/2021;27/05/2021;26/05/2022;"Prêt garanti";"1 180,00";"1 180,00";"1,50 %"
18/05/2021;20/05/2021;24/06/2021;"Prêt garanti";"1 000,00";373,00;"1,50 %"
18/05/2021;20/05/2021;24/06/2021;"Pension livrée";"15 090,00";"5 627,00";"1,50 %"
20/04/2021;22/04/2021;21/04/2022;"Prêt garanti";120,00;120,00;"1,25 %"
20/04/2021;22/04/2021;20/05/2021;"Prêt garanti";"1 000,00";285,00;"1,50 %"
20/04/2021;22/04/2021;20/05/2021;"Pension livrée";"13 020,00";"3 715,00";"1,50 %"
19/04/2021;22/04/2021;21/04/2022;"Prêt garanti";700,00;700,00;"1,50 %"
19/04/2021;22/04/2021;21/04/2022;"Prêt garanti";400,00;400,00;"1,50 %"
19/04/2021;22/04/2021;21/04/2022;"Prêt garanti";70,00;70,00;"1,50 %"
23/03/2021;25/03/2021;24/06/2021;"Pension livrée";"15 800,00";"11 299,00";"1,50 %"
23/03/2021;25/03/2021;24/06/2021;"Prêt garanti";"9 370,00";"6 701,00";"1,50 %"
23/03/2021;25/03/2021;22/04/2021;"Pension livrée";"13 310,00";"3 720,00";"1,50 %"
23/03/2021;25/03/2021;22/04/2021;"Prêt garanti";"1 000,00";280,00;"1,50 %"
22/03/2021;25/03/2021;24/03/2022;"Prêt garanti";320,00;320,00;"1,50 %"
22/02/2021;25/02/2021;24/02/2022;"Prêt garanti";960,00;960,00;"1,50 %"
22/02/2021;25/11/2021;24/02/2022;"Prêt garanti – Remboursement anticipé";200,00;200,00;"1,50 %"
16/02/2021;18/02/2021;25/03/2021;"Swap de change";"1 600,00";"1 600,00";"0,00 %"
16/02/2021;18/02/2021;25/03/2021;"Pension livrée";"17 790,00";"4 400,00";"1,50 %"
19/01/2021;21/01/2021;20/01/2022;"Prêt garanti";119,00;119,00;"1,25 %"
19/01/2021;21/01/2021;18/02/2021;"Pension livrée";"18 210,00";"4 000,00";"1,50 %"
19/01/2021;21/01/2021;18/02/2021;"Swap de change";"6 100,00";"4 000,00";"0,00 %"
18/01/2021;21/01/2021;20/01/2022;"Prêt garanti";"2 380,00";"2 380,00";"1,50 %"
18/01/2021;21/01/2021;20/01/2022;"Prêt garanti";150,00;150,00;"1,50 %"
18/01/2021;21/01/2021;20/01/2022;"Prêt garanti";"1 040,00";"1 040,00";"1,50 %"
21/12/2020;24/12/2020;23/12/2021;"Prêt garanti";"1 010,00";"1 010,00";"1,50 %"
15/12/2020;17/12/2020;25/03/2021;"Pension livrée";"32 120,00";"11 513,00";"1,50 %"
15/12/2020;17/12/2020;25/03/2021;"Prêt garanti";"18 100,00";"6 487,00";"1,50 %"
15/12/2020;17/12/2020;21/01/2021;"Pension livrée";"16 740,00";"3 763,00";"1,50 %"
15/12/2020;17/12/2020;21/01/2021;"Prêt garanti";"5 500,00";"1 237,00";"1,50 %"
15/12/2020;17/12/2020;21/01/2021;"Swap de change";"9 450,00";"5 000,00";"0,00 %"
23/11/2020;26/11/2020;25/11/2021;"Prêt garanti";"2 020,00";"2 020,00";"1,50 %"
17/11/2020;19/11/2020;17/12/2020;"Pension livrée";"22 330,00";"6 214,00";"1,50 %"
17/11/2020;19/11/2020;17/12/2020;"Prêt garanti";"10 010,00";"2 786,00";"1,50 %"
17/11/2020;19/11/2020;17/12/2020;"Swap de change";"7 400,00";"7 400,00";"0,00 %"
